"   qnrnumb","visit","         howoft","             likenet","             research","             safeweb","             goodtool","             notouse","             another","             likeproc","              hassle","    visits","friend","billbrd","banner","surfing","sengine","  tv","theater","nwspaper","other","             easyuse","             helpful","             positive","             useonly","             influenc","              secure","didbuy"," better","               howmuch","               safe","             wanttest","              price","             tradein","             handson","             checkit","   noweeks","    worth","   sticker","    actual","     age","     marital","children","                 educate","             race","               income","   gender"
"Min.   :   1.0  ","Yes:1400  ","Never       :279  ","Strongly Disagree:250  ","Strongly Disagree:169  ","Strongly Disagree:281  ","Strongly Disagree:252  ","Strongly Disagree:253  ","Strongly Disagree:465  ","Strongly Disagree:812  ","Strongly Disagree:319  ","Min.   : 1.000  ","No :1319  ","No :1353  ","No :1163  ","No :792  ","No :471  ","No :948  ","No :1348  ","No :1326  ","No :1363  ","Strongly Disagree:154  ","Strongly Disagree: 54  ","Strongly Disagree: 81  ","Strongly Disagree:575  ","Strongly Disagree:  0  ","Strongly Disagree:  1  ","Yes: 287  ","Yes : 272  ","A great deal better: 117  ","Strongly Disagree:274  ","Strongly Disagree:  0  ","Strongly Disagree:501  ","Strongly Disagree:378  ","Strongly Disagree: 32  ","Strongly Disagree:802  ","Min.   : 1.000  ","Min.   : 1000  ","Min.   :10000  ","Min.   : 5000  ","Min.   :21.00  ","Single   :558  ","0   :140  ","Less than high school:150  ","Caucasian      :959  ","Under $35,000     :131  ","Male  :1124  "
"1st Qu.: 350.8  ","No :   0  ","Almost never:331  ","Disagree         :358  ","Disagree         :311  ","Disagree         :331  ","Disagree         :361  ","Disagree         :199  ","Disagree         :455  ","Disagree         :253  ","Disagree         :133  ","1st Qu.: 4.000  ","Yes:  81  ","Yes:  47  ","Yes: 237  ","Yes:608  ","Yes:929  ","Yes:452  ","Yes:  52  ","Yes:  74  ","Yes:  37  ","Disagree         :131  ","Disagree         :216  ","Disagree         :238  ","Disagree         :354  ","Disagree         :  2  ","Disagree         :  7  ","No :1113  ","No  :  15  ","Much better        :  72  ","Disagree         :195  ","Disagree         :  8  ","Disagree         :172  ","Disagree         :176  ","Disagree         : 92  ","Disagree         :320  ","1st Qu.: 1.000  ","1st Qu.: 6000  ","1st Qu.:11000  ","1st Qu.: 9000  ","1st Qu.:29.00  ","Married  :581  ","1   :283  ","High school          :229  ","Black          :217  ","$50,000 - $65,000 :115  ","Female: 276  "
"Median : 700.5  ",,"Occasionally:322  ","Neutral          :331  ","Neutral          :355  ","Neutral          :318  ","Neutral          :336  ","Neutral          :420  ","Neutral          :345  ","Neutral          :169  ","Neutral          :191  ","Median : 7.000  ",,,,,,,,,,"Neutral          :211  ","Neutral          :419  ","Neutral          :415  ","Neutral          :247  ","Neutral          :307  ","Neutral          :171  ",,"NA's:1113  ","Somewhat better    :  58  ","Neutral          :257  ","Neutral          :113  ","Neutral          :185  ","Neutral          :184  ","Neutral          :304  ","Neutral          :185  ","Median : 3.000  ","Median :10000  ","Median :15000  ","Median :12500  ","Median :35.00  ","Widowed  :  8  ","2   :285  ","Some college         :328  ","Asian          :127  ","$65,000 - $80,000 :194  ",
"Mean   : 700.5  ",,"Often       :298  ","Agree            :309  ","Agree            :331  ","Agree            :305  ","Agree            :296  ","Agree            :205  ","Agree            :114  ","Agree            : 98  ","Agree            :179  ","Mean   : 6.613  ",,,,,,,,,,"Agree            :241  ","Agree            :422  ","Agree            :551  ","Agree            :148  ","Agree            :801  ","Agree            :535  ",,,"Just a bit better  :  25  ","Agree            :271  ","Agree            :451  ","Agree            :148  ","Agree            :196  ","Agree            :383  ","Agree            : 71  ","Mean   : 3.607  ","Mean   :10378  ","Mean   :15496  ","Mean   :13181  ","Mean   :36.08  ","Divorced :208  ","3   :110  ","Undergraduate degree :295  ","American Indian:  2  ","$80,000 - $95,000 :301  ",
"3rd Qu.:1050.2  ",,"Very Often  :  0  ","Strongly Agree   :152  ","Strongly Agree   :234  ","Strongly Agree   :165  ","Strongly Agree   :155  ","Strongly Agree   :323  ","Strongly Agree   : 21  ","Strongly Agree   : 68  ","Strongly Agree   :578  ","3rd Qu.: 9.000  ",,,,,,,,,,"Strongly Agree   :663  ","Strongly Agree   :289  ","Strongly Agree   :115  ","Strongly Agree   : 76  ","Strongly Agree   :290  ","Strongly Agree   :686  ",,,"NA's               :1128  ","Strongly Agree   :403  ","Strongly Agree   :828  ","Strongly Agree   :394  ","Strongly Agree   :466  ","Strongly Agree   :589  ","Strongly Agree   : 22  ","3rd Qu.: 5.000  ","3rd Qu.:14000  ","3rd Qu.:19000  ","3rd Qu.:17000  ","3rd Qu.:42.00  ","Seperated:  0  ","4   : 21  ","Graduate degree      :235  ","Hispanic       : 87  ","$95,000 - $110,000:218  ",
"Max.   :1400.0  ",,"NA's        :170  ",,,,,,,,,"Max.   :16.000  ",,,,,,,,,,,,,,,,,,,,,,,,,"Max.   :12.000  ","Max.   :31000  ","Max.   :35000  ","Max.   :33000  ","Max.   :66.00  ","NA's     : 45  ","5   :  3  ","Other                :163  ","Other          :  8  ","Over $110,000     :291  ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA's   :104  ",,,,,"NA's:558  ",,,"NA's              :150  ",
